Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,11,R. Tannehill QB - MIA ,11.74,J. Forsett RB - BAL ,5.60,M. Lynch RB - SEA ,12.40,T. Hilton WR - IND ,8.80,J. Landry WR - MIA ,6.70,H. Miller TE - PIT ,8.40,G. Tate WR - DET ,2.40,B. McManus K - DEN ,17.00,Patriots DEF ,5.00,C. Palmer QB - ARI ,25.68,R. White WR - ATL ,8.40,C. Patterson WR - MIN ,0.10,K. Stills WR - MIA ,1.20,T. Mason RB - STL ,0.00,A. Blue RB - HOU ,4.90,78.04,david,91.70
david,5,D. Brees QB - NO ,16.50,M. Forte RB - CHI ,22.60,G. Bernard RB - CIN ,8.80,A. Green WR - CIN ,6.30,D. Hopkins WR - HOU ,23.80,G. Olsen TE - CAR ,1.10,A. Boldin WR - SF ,3.60,A. Vinatieri K - IND ,0.00,Bills DEF ,9.00,D. Amendola WR - NE ,2.40,C. Newton QB - CAR ,12.50,M. Floyd WR - LAC ,2.90,D. Allen TE - IND ,7.70,R. Woods WR - BUF ,2.70,B. Sankey RB - TEN ,20.60,91.70,Peter,78.04
Ryan,10,B. Roethlisberger QB - PIT ,18.04,C. Anderson RB - DEN ,4.80,L. Murray RB - LV ,8.00,E. Sanders WR - DEN ,6.50,C. Johnson WR - DET ,3.90,C. Clay TE - BUF ,4.30,C. Ivory RB - NYJ ,22.00,B. Walsh K - MIN ,3.00,Chiefs DEF ,10.00,D. McFadden RB - DAL ,3.50,S. Smith WR - BAL ,1.30,V. Jackson WR - TB ,5.10,K. Wright WR - TEN ,16.10,J. Winston QB - TB ,14.20,D. Johnson RB - ARI ,11.50,80.54,Greg,84.44
alex,1,M. Stafford QB - DET ,13.74,L. McCoy RB - BUF ,8.70,C. Hyde RB - SF ,30.20,J. Maclin WR - KC ,5.20,A. Brown WR - PIT ,19.30,J. Cameron TE - MIA ,7.30,M. Wallace WR - MIN ,6.30,J. Tucker K - BAL ,9.00,Ravens DEF ,16.00,C. Spiller RB - NO ,0.00,J. Manziel QB - CLE ,8.78,T. Bridgewater QB - MIN ,8.84,E. Ebron TE - DET ,11.30,T. West RB - BAL ,2.10,D. Green-Beckham WR - TEN ,0.00,115.74,Peter,97.46
Alessandro,12,M. Ryan QB - ATL ,16.62,M. Ingram RB - NO ,12.20,J. Randle RB ,10.70,B. Marshall WR - NYJ ,12.20,M. Evans WR - TB ,0.00,V. Davis TE - DEN ,4.70,E. Decker WR - NYJ ,9.70,C. Parkey K - PHI ,6.00,Eagles DEF ,5.00,D. Woodhead RB - LAC ,18.20,P. Harvin WR - BUF ,14.80,C. Kaepernick QB - SF ,10.70,T. Smith WR - SF ,1.10,M. Floyd WR - ARI ,1.80,L. Bell RB - PIT ,0.00,77.12,Raed,106.32
johnny,8,P. Rivers QB - LAC ,21.96,J. Stewart RB - CAR ,8.10,E. Lacy RB - GB ,15.90,B. Cooks WR - NO ,5.30,A. Robinson WR - JAC ,2.70,R. Gronkowski TE - NE ,27.40,M. Colston WR - NO ,2.90,M. Crosby K - GB ,7.00,Texans DEF ,2.00,F. Jackson RB - SEA ,2.90,Z. Ertz TE - PHI ,4.60,B. Bortles QB - JAC ,9.92,T. Gurley RB - STL ,0.00,N. Agholor WR - PHI ,0.50,Broncos DEF ,16.00,93.26,Kevin,104.02
christian,9,P. Manning QB - DEN ,4.90,F. Gore RB - IND ,3.10,D. Martin RB - TB ,5.40,D. Thomas WR - DEN ,6.00,J. Jones WR - ATL ,26.10,J. Witten TE - DAL ,18.00,R. Mathews RB - PHI ,8.80,D. Carpenter K - BUF ,9.00,Cardinals DEF ,5.00,B. LaFell WR - NE ,0.00,A. Gates TE - LAC ,0.00,N. Foles QB - STL ,18.98,M. Sanu WR - CIN ,3.40,T. Williams WR - DAL ,6.00,D. Freeman RB - ATL ,4.70,86.30,michael,92.32
michael,4,T. Brady QB - NE ,27.62,J. Charles RB - KC ,16.30,L. Miller RB - MIA ,7.50,A. Jeffery WR - CHI ,7.80,S. Watkins WR - BUF ,0.00,M. Bennett TE - CHI ,11.50,A. Ellington RB - ARI ,11.60,R. Bullock K - NYJ ,6.00,Packers DEF ,4.00,J. Flacco QB - BAL ,0.68,J. Bell RB - DET ,4.10,J. Thomas TE - JAC ,0.00,D. Williams RB - PIT ,13.20,D. Moncrief WR - IND ,10.60,J. Strong WR - HOU ,0.00,92.32,christian,86.30
Kevin,3,E. Manning QB - NYG ,8.52,J. Hill RB - CIN ,18.30,M. Gordon RB - LAC ,4.70,D. Adams WR - GB ,5.90,O. Beckham WR - NYG ,4.40,T. Kelce TE - KC ,22.60,J. Brown WR - ARI ,10.60,M. Bryant K - ATL ,14.00,Dolphins DEF ,15.00,S. Bradford QB - PHI ,13.44,S. Vereen RB - NYG ,6.00,T. Eifert TE - CIN ,22.40,C. Johnson WR - MIN ,2.70,A. Abdullah RB - DET ,15.40,D. Funchess WR - CAR ,0.90,104.02,johnny,93.26
Raed,2,A. Luck QB - IND ,17.72,R. Jennings RB - NYG ,11.20,A. Morris RB - WAS ,12.10,J. Edelman WR - NE ,10.60,D. Bryant WR - DAL ,4.80,D. Walker TE - TEN ,10.30,K. Allen WR - LAC ,16.60,S. Gostkowski K - NE ,4.00,Seahawks DEF ,19.00,M. Crabtree WR - LV ,3.70,J. Cutler QB - CHI ,14.10,C. Fleener TE - IND ,2.50,C. Sims RB - TB ,3.50,A. Hurns WR - JAC ,4.00,D. Johnson RB - CLE ,2.20,106.32,Alessandro,77.12
Peter,7,A. Rodgers QB - GB ,23.06,D. Murray RB - PHI ,14.00,I. Crowell RB - CLE ,3.30,A. Johnson WR - IND ,2.40,J. Matthews WR - PHI ,10.20,J. Graham TE - SEA ,11.10,P. Garcon WR - WAS ,7.40,D. Bailey K - DAL ,9.00,Jets DEF ,17.00,A. Foster RB - HOU ,0.00,L. Blount RB - NE ,0.00,A. Smith QB - KC ,23.22,V. Cruz WR - NYG ,0.00,A. Williams RB - NYG ,1.40,M. Bryant WR - PIT ,0.00,97.46,alex,115.74
Greg,6,R. Wilson QB - SEA ,15.14,A. Peterson RB - MIN ,5.20,T. Yeldon RB - JAC ,6.70,R. Cobb WR - GB ,9.80,A. Cooper WR - LV ,4.70,K. Rudolph TE - MIN ,5.30,D. Sproles RB - PHI ,12.60,S. Hauschka K - SEA ,11.00,Rams DEF ,14.00,D. Jackson WR - WAS ,0.00,T. Romo QB - DAL ,22.14,L. Fitzgerald WR - ARI ,8.70,D. Robinson RB - JAC ,4.50,C. Latimer WR - DEN ,0.00,T. Coleman RB - ATL ,8.00,84.44,Ryan,80.54
