Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,12,R. Tannehill QB - MIA ,15.78,M. Lynch RB - SEA ,2.30,M. Jones RB - WAS ,1.80,T. Hilton WR - IND ,9.40,J. Landry WR - MIA ,8.60,H. Miller TE - PIT ,1.70,J. Forsett RB - BAL ,2.90,B. McManus K - DEN ,6.00,Patriots DEF ,5.00,G. Tate WR - DET ,5.70,C. Palmer QB - ARI ,18.54,R. White WR - ATL ,0.00,T. Benjamin WR - CLE ,8.50,R. Hillman RB - DEN ,7.60,Panthers DEF ,5.00,53.48,alex,88.18
david,5,C. Newton QB - CAR ,29.90,M. Forte RB - CHI ,7.40,B. Sankey RB - TEN ,4.10,A. Green WR - CIN ,36.70,A. Boldin WR - SF ,1.60,G. Olsen TE - CAR ,25.40,M. Floyd WR - LAC ,6.30,A. Vinatieri K - IND ,5.00,Bills DEF ,15.00,D. Amendola WR - NE ,9.90,D. Brees QB - NO ,0.00,D. Allen TE - IND ,0.00,G. Bernard RB - CIN ,8.30,D. Hopkins WR - HOU ,16.10,R. Woods WR - BUF ,3.80,131.40,johnny,67.24
Ryan,10,B. Roethlisberger QB - PIT ,5.68,C. Anderson RB - DEN ,2.70,L. Murray RB - LV ,20.90,E. Sanders WR - DEN ,8.70,C. Johnson WR - DET ,7.70,J. Reed TE - WAS ,9.60,C. Ivory RB - NYJ ,0.00,R. Gould K - CHI ,0.00,Bengals DEF ,3.00,D. Lewis RB - NE ,12.70,V. Jackson WR - TB ,4.00,J. Jones WR - GB ,19.90,K. Wright WR - TEN ,16.80,J. Winston QB - TB ,12.44,D. Johnson RB - ARI ,4.10,58.28,Alessandro,133.70
alex,1,M. Stafford QB - DET ,8.58,L. McCoy RB - BUF ,8.60,C. Hyde RB - SF ,6.10,S. Smith WR - BAL ,30.60,A. Brown WR - PIT ,10.80,J. Cameron TE - MIA ,1.60,M. Wallace WR - MIN ,4.90,J. Tucker K - BAL ,6.00,Ravens DEF ,11.00,J. Maclin WR - KC ,20.10,C. Spiller RB - NO ,2.60,T. Bridgewater QB - MIN ,2.74,E. Ebron TE - DET ,6.10,B. Coleman WR - NO ,0.90,K. Williams RB - BUF ,17.00,88.18,Peter,53.48
Alessandro,7,M. Ryan QB - ATL ,23.10,M. Ingram RB - NO ,15.90,J. Randle RB ,28.50,B. Marshall WR - NYJ ,14.90,M. Evans WR - TB ,10.10,V. Davis TE - DEN ,0.00,L. Bell RB - PIT ,19.20,C. Parkey K - PHI ,6.00,Eagles DEF ,16.00,D. Woodhead RB - LAC ,4.30,P. Harvin WR - BUF ,8.20,E. Decker WR - NYJ ,0.00,C. Kaepernick QB - SF ,5.28,T. Smith WR - SF ,0.00,M. Floyd WR - ARI ,1.20,133.70,Ryan,58.28
johnny,9,P. Rivers QB - LAC ,9.84,J. Stewart RB - CAR ,5.20,E. Lacy RB - GB ,8.70,B. Cooks WR - NO ,7.90,A. Robinson WR - JAC ,6.80,R. Gronkowski TE - NE ,10.10,M. Colston WR - NO ,4.70,M. Crosby K - GB ,8.00,Texans DEF ,6.00,F. Jackson RB - SEA ,2.20,Z. Ertz TE - PHI ,3.00,B. Bortles QB - JAC ,16.38,T. Gurley RB - STL ,1.40,N. Agholor WR - PHI ,0.00,Broncos DEF ,14.00,67.24,david,131.40
christian,3,P. Manning QB - DEN ,18.86,D. Martin RB - TB ,4.60,D. Freeman RB - ATL ,37.30,D. Thomas WR - DEN ,13.20,J. Jones WR - ATL ,28.40,J. Witten TE - DAL ,6.50,T. Williams WR - DAL ,0.00,D. Carpenter K - BUF ,13.00,Cardinals DEF ,28.00,R. Mathews RB - PHI ,16.80,B. LaFell WR - NE ,0.00,A. Gates TE - LAC ,0.00,F. Gore RB - IND ,21.40,N. Foles QB - STL ,6.88,M. Sanu WR - CIN ,3.40,149.86,Greg,141.90
michael,2,T. Brady QB - NE ,22.72,J. Charles RB - KC ,26.20,L. Miller RB - MIA ,6.50,S. Watkins WR - BUF ,3.90,D. Moncrief WR - IND ,9.20,M. Bennett TE - CHI ,1.50,D. Williams RB - PIT ,0.20,R. Bullock K - NYJ ,7.00,Packers DEF ,8.00,J. Flacco QB - BAL ,20.48,J. Bell RB - DET ,6.40,J. Thomas TE - JAC ,0.00,A. Jeffery WR - CHI ,0.00,A. Ellington RB - ARI ,0.00,Bears DEF ,4.00,85.22,Peter,71.12
Kevin,8,E. Manning QB - NYG ,19.16,J. Hill RB - CIN ,2.10,M. Gordon RB - LAC ,5.10,O. Beckham WR - NYG ,13.90,J. Brown WR - ARI ,6.20,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,25.30,M. Bryant K - ATL ,7.00,Dolphins DEF ,-4.00,T. Taylor QB - BUF ,24.28,S. Vereen RB - NYG ,2.30,C. Johnson WR - MIN ,0.90,D. Adams WR - GB ,0.00,A. Abdullah RB - DET ,10.20,Chiefs DEF ,-3.00,74.76,Raed,83.80
Raed,6,A. Luck QB - IND ,16.50,R. Jennings RB - NYG ,5.70,A. Morris RB - WAS ,1.90,S. Johnson WR - LAC ,4.60,J. Edelman WR - NE ,8.50,T. Kelce TE - KC ,10.00,M. Crabtree WR - LV ,3.60,S. Gostkowski K - NE ,15.00,Seahawks DEF ,18.00,D. Bryant WR - DAL ,0.00,D. Walker TE - TEN ,6.80,R. Matthews WR - MIA ,23.30,C. Sims RB - TB ,11.20,D. Johnson RB - CLE ,3.50,M. Mariota QB - TEN ,18.68,83.80,Kevin,74.76
