Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,12,C. Palmer QB - ARI ,15.98,C. Johnson RB - ARI ,9.40,J. Forsett RB - BAL ,15.00,T. Hilton WR - IND ,6.70,J. Landry WR - MIA ,6.90,H. Miller TE - PIT ,0.10,G. Tate WR - DET ,3.50,B. McManus K - DEN ,11.00,Panthers DEF ,18.00,M. Lynch RB - SEA ,0.00,T. Benjamin WR - CLE ,7.90,R. Tannehill QB - MIA ,12.32,R. Hillman RB - DEN ,16.80,M. Jones RB - WAS ,1.10,Steelers DEF ,9.00,86.58,Alessandro,90.64
david,2,C. Newton QB - CAR ,16.06,M. Forte RB - CHI ,13.50,G. Bernard RB - CIN ,12.20,A. Green WR - CIN ,8.20,M. Floyd WR - LAC ,2.00,G. Olsen TE - CAR ,2.80,D. Hopkins WR - HOU ,15.70,A. Vinatieri K - IND ,12.00,Bills DEF ,3.00,D. Amendola WR - NE ,0.00,D. Brees QB - NO ,22.36,A. Boldin WR - SF ,1.20,D. Allen TE - IND ,0.00,R. Woods WR - BUF ,1.30,B. Sankey RB - TEN ,0.00,85.46,michael,84.60
Ryan,10,A. Dalton QB - CIN ,18.44,C. Ivory RB - NYJ ,22.60,L. Murray RB - LV ,6.10,E. Sanders WR - DEN ,6.80,C. Johnson WR - DET ,3.60,J. Reed TE - WAS ,1.70,J. Jones WR - GB ,9.80,R. Gould K - CHI ,12.00,Bengals DEF ,7.00,D. Lewis RB - NE ,0.00,B. Roethlisberger QB - PIT ,0.00,V. Jackson WR - TB ,20.70,K. Wright WR - TEN ,0.00,C. Anderson RB - DEN ,7.00,D. Johnson RB - ARI ,12.10,88.04,christian,98.22
alex,1,D. Carr QB - LV ,11.84,C. Hyde RB - SF ,2.20,K. Williams RB - BUF ,13.00,S. Smith WR - BAL ,2.40,A. Brown WR - PIT ,4.20,E. Ebron TE - DET ,2.20,J. Maclin WR - KC ,14.80,J. Tucker K - BAL ,13.00,Ravens DEF ,5.00,L. McCoy RB - BUF ,0.00,M. Stafford QB - DET ,8.12,C. Spiller RB - NO ,16.90,J. Cameron TE - MIA ,1.90,M. Wallace WR - MIN ,14.30,D. Green-Beckham WR - TEN ,0.00,68.64,johnny,69.02
Alessandro,8,M. Ryan QB - ATL ,14.14,J. Randle RB ,8.60,L. Bell RB - PIT ,21.00,B. Marshall WR - NYJ ,12.80,M. Evans WR - TB ,3.20,C. Clay TE - BUF ,11.10,M. Ingram RB - NO ,12.80,J. Brown K - NYG ,4.00,Eagles DEF ,3.00,D. Woodhead RB - LAC ,13.80,P. Harvin WR - BUF ,2.60,E. Decker WR - NYJ ,10.60,C. Kaepernick QB - SF ,10.10,T. Smith WR - SF ,5.40,M. Floyd WR - ARI ,5.90,90.64,Peter,86.58
johnny,9,P. Rivers QB - LAC ,26.22,J. Stewart RB - CAR ,5.00,E. Lacy RB - GB ,9.30,B. Cooks WR - NO ,2.50,A. Robinson WR - JAC ,8.00,Z. Ertz TE - PHI ,1.10,M. Colston WR - NO ,1.90,M. Crosby K - GB ,5.00,Broncos DEF ,10.00,R. Gronkowski TE - NE ,0.00,F. Jackson RB - SEA ,5.40,B. Bortles QB - JAC ,19.02,T. Gurley RB - STL ,16.10,N. Agholor WR - PHI ,4.40,Texans DEF ,-2.00,69.02,alex,68.64
christian,4,P. Manning QB - DEN ,8.32,D. Martin RB - TB ,20.30,D. Freeman RB - ATL ,32.90,D. Thomas WR - DEN ,9.30,J. Jones WR - ATL ,3.80,J. Witten TE - DAL ,5.70,T. Williams WR - DAL ,10.90,D. Carpenter K - BUF ,6.00,Cardinals DEF ,1.00,R. Mathews RB - PHI ,0.00,B. LaFell WR - NE ,0.00,A. Gates TE - LAC ,0.00,F. Gore RB - IND ,6.70,N. Foles QB - STL ,18.74,M. Sanu WR - CIN ,8.40,98.22,Ryan,88.04
michael,3,S. Bradford QB - PHI ,24.20,J. Charles RB - KC ,14.50,L. Miller RB - MIA ,3.60,K. Britt WR - STL ,0.00,D. Moncrief WR - IND ,7.50,M. Bennett TE - CHI ,14.30,D. Williams RB - PIT ,0.50,K. Brindza K ,5.00,Packers DEF ,15.00,J. Thomas TE - JAC ,0.00,T. Brady QB - NE ,0.00,A. Jeffery WR - CHI ,0.00,A. Ellington RB - ARI ,0.00,S. Watkins WR - BUF ,0.00,Bears DEF ,7.00,84.60,david,85.46
Kevin,6,T. Taylor QB - BUF ,14.46,J. Hill RB - CIN ,24.00,M. Gordon RB - LAC ,4.60,K. Allen WR - LAC ,13.20,O. Beckham WR - NYG ,3.80,T. Eifert TE - CIN ,6.90,J. Brown WR - ARI ,8.80,M. Bryant K - ATL ,6.00,Chiefs DEF ,-4.00,S. Vereen RB - NYG ,2.10,E. Manning QB - NYG ,18.28,M. Jones WR - CIN ,1.00,D. Adams WR - GB ,0.00,A. Abdullah RB - DET ,4.40,T. Rawls RB - SEA ,4.70,77.76,Greg,77.48
Raed,5,A. Luck QB - IND ,0.00,R. Jennings RB - NYG ,15.20,A. Morris RB - WAS ,6.50,S. Johnson WR - LAC ,3.20,M. Crabtree WR - LV ,8.00,T. Kelce TE - KC ,2.90,R. Matthews WR - MIA ,1.60,C. Catanzaro K - ARI ,16.00,Seahawks DEF ,7.00,J. Edelman WR - NE ,0.00,D. Bryant WR - DAL ,0.00,D. Walker TE - TEN ,0.00,C. Thompson RB - WAS ,7.70,M. Mariota QB - TEN ,0.00,S. Gostkowski K - NE ,0.00,60.40,Peter,68.96
Peter,11,A. Rodgers QB - GB ,16.26,D. Murray RB - PHI ,4.80,I. Crowell RB - CLE ,12.50,A. Johnson WR - IND ,0.00,J. Matthews WR - PHI ,5.00,J. Graham TE - SEA ,2.90,P. Garcon WR - WAS ,11.50,D. Bailey K - DAL ,8.00,Jets DEF ,8.00,A. Foster RB - HOU ,1.50,L. Blount RB - NE ,0.00,A. Smith QB - KC ,17.94,V. Cruz WR - NYG ,0.00,A. Williams RB - NYG ,5.50,M. Bryant WR - PIT ,0.00,68.96,Raed,60.40
Greg,7,R. Wilson QB - SEA ,15.48,D. Sproles RB - PHI ,1.70,A. Peterson RB - MIN ,15.40,R. Cobb WR - GB ,4.40,A. Cooper WR - LV ,10.90,K. Rudolph TE - MIN ,0.70,L. Fitzgerald WR - ARI ,7.90,S. Hauschka K - SEA ,11.00,Rams DEF ,10.00,D. Jackson WR - WAS ,0.00,T. Romo QB - DAL ,0.00,D. Robinson RB - JAC ,0.00,C. Latimer WR - DEN ,0.00,T. Coleman RB - ATL ,0.00,T. Yeldon RB - JAC ,10.90,77.48,Kevin,77.76
