Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,11,C. Palmer QB - ARI ,18.74,C. Johnson RB - ARI ,4.50,M. Lynch RB - SEA ,11.40,T. Benjamin WR - CLE ,11.70,T. Hilton WR - IND ,13.40,L. Green TE - LAC ,9.50,J. Forsett RB - BAL ,10.10,B. McManus K - DEN ,14.00,Panthers DEF ,4.00,G. Tate WR - DET ,10.00,T. Ginn WR - CAR ,1.80,R. Tannehill QB - MIA ,16.04,R. Hillman RB - DEN ,11.50,R. Randle WR - NYG ,4.40,J. Landry WR - MIA ,12.60,97.34,christian,89.50
david,2,C. Newton QB - CAR ,19.76,M. Forte RB - CHI ,16.90,G. Bernard RB - CIN ,13.30,A. Green WR - CIN ,3.60,D. Hopkins WR - HOU ,26.80,G. Olsen TE - CAR ,19.10,B. Sankey RB - TEN ,2.00,A. Vinatieri K - IND ,3.00,Bills DEF ,-1.00,D. Amendola WR - NE ,10.50,D. Brees QB - NO ,16.68,A. Boldin WR - SF ,10.20,M. Floyd WR - LAC ,9.50,D. Allen TE - IND ,2.30,R. Woods WR - BUF ,4.70,103.46,Greg,51.94
Ryan,9,A. Dalton QB - CIN ,21.52,D. Lewis RB - NE ,3.90,C. Ivory RB - NYJ ,25.60,E. Sanders WR - DEN ,16.90,C. Johnson WR - DET ,22.60,D. Walker TE - TEN ,9.70,J. Edelman WR - NE ,11.20,J. Brown K - NYG ,1.00,Bengals DEF ,4.00,S. Vereen RB - NYG ,0.60,B. Roethlisberger QB - PIT ,0.00,K. Wright WR - TEN ,3.40,C. Anderson RB - DEN ,6.60,A. Andrews RB - TEN ,2.50,D. Johnson RB - ARI ,1.70,116.42,Peter,105.30
alex,1,M. Stafford QB - DET ,35.90,K. Davis RB - KC ,2.50,C. Hyde RB - SF ,6.00,J. Maclin WR - KC ,4.80,A. Brown WR - PIT ,2.40,G. Barnidge TE - CLE ,15.90,K. Aiken WR - BAL ,8.20,J. Tucker K - BAL ,8.00,Ravens DEF ,3.00,L. McCoy RB - BUF ,15.40,S. Smith WR - BAL ,19.70,V. Jackson WR - TB ,0.00,R. Fitzpatrick QB - NYJ ,25.22,M. Wallace WR - MIN ,2.30,K. Williams RB - BUF ,0.00,86.70,Raed,83.18
Alessandro,6,M. Ryan QB - ATL ,18.80,M. Ingram RB - NO ,17.60,L. Bell RB - PIT ,8.80,E. Decker WR - NYJ ,9.90,B. Marshall WR - NYJ ,15.10,C. Clay TE - BUF ,6.20,D. Woodhead RB - LAC ,7.10,C. Santos K - KC ,4.00,Giants DEF ,9.00,J. Flacco QB - BAL ,17.72,P. Harvin WR - BUF ,0.00,M. Jones WR - CIN ,15.50,T. Austin WR - STL ,0.00,J. Randle RB ,0.00,M. Evans WR - TB ,0.00,96.50,Kevin,82.96
johnny,4,P. Rivers QB - LAC ,30.12,J. Stewart RB - CAR ,20.60,E. Lacy RB - GB ,2.00,B. Cooks WR - NO ,4.10,A. Robinson WR - JAC ,14.60,R. Gronkowski TE - NE ,11.00,M. Colston WR - NO ,0.00,M. Crosby K - GB ,9.00,Broncos DEF ,17.00,F. Jackson RB - SEA ,0.70,Z. Ertz TE - PHI ,4.30,B. Bortles QB - JAC ,22.94,T. Gurley RB - STL ,0.00,N. Agholor WR - PHI ,0.00,Texans DEF ,16.00,108.42,michael,98.08
christian,3,P. Manning QB - DEN ,9.60,F. Gore RB - IND ,9.40,D. Freeman RB - ATL ,27.60,D. Thomas WR - DEN ,11.10,J. Jones WR - ATL ,9.30,A. Gates TE - LAC ,9.50,A. Hurns WR - JAC ,9.00,D. Carpenter K - BUF ,3.00,Cardinals DEF ,1.00,B. LaFell WR - NE ,0.00,J. Witten TE - DAL ,0.00,N. Foles QB - STL ,0.00,D. Martin RB - TB ,0.00,M. Sanu WR - CIN ,3.80,T. Williams WR - DAL ,0.00,89.50,Peter,97.34
michael,5,T. Brady QB - NE ,22.48,D. Williams RB - PIT ,-0.10,A. Ellington RB - ARI ,5.40,A. Jeffery WR - CHI ,20.70,D. Moncrief WR - IND ,12.90,M. Bennett TE - CHI ,5.90,L. Miller RB - MIA ,17.80,C. Catanzaro K - ARI ,7.00,Packers DEF ,6.00,J. Charles RB - KC ,0.00,K. Britt WR - STL ,0.00,S. Bradford QB - PHI ,9.40,J. Thomas TE - JAC ,13.80,S. Watkins WR - BUF ,10.80,S. Janikowski K - LV ,0.00,98.08,johnny,108.42
Kevin,8,E. Manning QB - NYG ,8.76,J. Hill RB - CIN ,12.90,M. Gordon RB - LAC ,0.90,K. Allen WR - LAC ,15.70,O. Beckham WR - NYG ,12.10,T. Eifert TE - CIN ,9.00,J. Brown WR - ARI ,17.60,M. Bryant K - ATL ,3.00,Patriots DEF ,3.00,D. Harris WR - NYG ,1.80,T. Taylor QB - BUF ,0.00,J. Cameron TE - MIA ,9.00,D. Adams WR - GB ,0.00,W. Snead WR - NO ,5.50,A. Abdullah RB - DET ,6.90,82.96,Alessandro,96.50
Raed,10,A. Luck QB - IND ,27.98,R. Jennings RB - NYG ,6.30,C. West RB - KC ,1.90,L. Hankerson WR - BUF ,3.70,J. Jones WR - GB ,9.00,T. Kelce TE - KC ,8.80,R. Matthews WR - MIA ,8.50,S. Gostkowski K - NE ,10.00,Seahawks DEF ,7.00,S. Johnson WR - LAC ,0.00,M. Crabtree WR - LV ,0.00,D. Bryant WR - DAL ,0.00,C. Michael RB - SEA ,0.00,L. Murray RB - LV ,0.00,M. Mariota QB - TEN ,4.76,83.18,alex,86.70
