Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,12,R. Tannehill QB - MIA ,24.06,J. Forsett RB - BAL ,8.00,M. Lynch RB - SEA ,6.20,G. Tate WR - DET ,8.00,J. Landry WR - MIA ,11.60,H. Miller TE - PIT ,9.50,R. White WR - ATL ,0.00,B. McManus K - DEN ,9.00,Panthers DEF ,4.00,C. Palmer QB - ARI ,21.20,T. Hilton WR - IND ,4.50,R. Hillman RB - DEN ,3.40,C. Beasley WR - DAL ,1.40,T. Mason RB - STL ,3.00,Patriots DEF ,13.00,80.36,Ryan,116.16
david,9,D. Brees QB - NO ,12.10,M. Forte RB - CHI ,10.50,B. Sankey RB - TEN ,4.20,A. Green WR - CIN ,10.50,D. Hopkins WR - HOU ,5.30,G. Olsen TE - CAR ,7.00,A. Boldin WR - SF ,12.00,A. Vinatieri K - IND ,1.00,Bills DEF ,2.00,D. Amendola WR - NE ,3.20,C. Newton QB - CAR ,27.40,M. Floyd WR - LAC ,11.50,D. Allen TE - IND ,0.00,G. Bernard RB - CIN ,13.90,R. Woods WR - BUF ,12.00,64.60,alex,91.94
Ryan,6,B. Roethlisberger QB - PIT ,30.66,C. Ivory RB - NYJ ,6.00,L. Murray RB - LV ,14.70,E. Sanders WR - DEN ,20.70,C. Johnson WR - DET ,14.30,A. Seferian-Jenkins TE - TB ,2.90,C. Anderson RB - DEN ,2.90,R. Gould K - CHI ,13.00,Bengals DEF ,11.00,D. McFadden RB - DAL ,5.20,V. Jackson WR - TB ,11.40,J. Jones WR - GB ,8.90,K. Wright WR - TEN ,1.70,J. Winston QB - TB ,18.58,D. Johnson RB - ARI ,10.50,116.16,Peter,80.36
alex,1,M. Stafford QB - DET ,19.44,L. McCoy RB - BUF ,11.60,C. Hyde RB - SF ,6.10,A. Brown WR - PIT ,27.50,B. Coleman WR - NO ,3.30,J. Cameron TE - MIA ,6.20,M. Wallace WR - MIN ,3.80,J. Tucker K - BAL ,15.00,Ravens DEF ,-1.00,J. Maclin WR - KC ,5.50,C. Spiller RB - NO ,2.60,S. Smith WR - BAL ,15.00,J. Manziel QB - CLE ,14.98,T. Bridgewater QB - MIN ,18.22,E. Ebron TE - DET ,10.30,91.94,david,64.60
Alessandro,11,M. Ryan QB - ATL ,18.42,M. Ingram RB - NO ,9.80,J. Randle RB ,6.50,B. Marshall WR - NYJ ,16.10,M. Evans WR - TB ,0.00,V. Davis TE - DEN ,6.20,E. Decker WR - NYJ ,15.70,C. Parkey K - PHI ,4.00,Eagles DEF ,8.00,D. Woodhead RB - LAC ,10.40,P. Harvin WR - BUF ,5.40,C. Kaepernick QB - SF ,26.50,T. Smith WR - SF ,20.00,M. Floyd WR - ARI ,0.00,L. Bell RB - PIT ,0.00,84.72,Greg,97.94
johnny,7,P. Rivers QB - LAC ,14.14,J. Stewart RB - CAR ,5.90,E. Lacy RB - GB ,0.90,B. Cooks WR - NO ,5.80,A. Robinson WR - JAC ,27.50,R. Gronkowski TE - NE ,17.30,M. Colston WR - NO ,6.90,M. Crosby K - GB ,15.00,Texans DEF ,4.00,F. Jackson RB - SEA ,5.60,Z. Ertz TE - PHI ,1.70,B. Bortles QB - JAC ,21.62,T. Gurley RB - STL ,0.00,N. Agholor WR - PHI ,3.10,Broncos DEF ,22.00,97.44,Peter,89.06
christian,4,P. Manning QB - DEN ,20.24,F. Gore RB - IND ,4.10,D. Martin RB - TB ,7.80,D. Thomas WR - DEN ,11.60,J. Jones WR - ATL ,13.50,J. Witten TE - DAL ,5.60,R. Mathews RB - PHI ,0.00,D. Carpenter K - BUF ,2.00,Cardinals DEF ,18.00,B. LaFell WR - NE ,0.00,A. Gates TE - LAC ,0.00,N. Foles QB - STL ,10.10,M. Sanu WR - CIN ,1.50,T. Williams WR - DAL ,14.40,D. Freeman RB - ATL ,11.90,82.84,Raed,79.60
michael,3,J. Flacco QB - BAL ,21.56,J. Charles RB - KC ,14.70,L. Miller RB - MIA ,4.20,S. Watkins WR - BUF ,12.00,D. Moncrief WR - IND ,18.20,M. Bennett TE - CHI ,4.80,J. Bell RB - DET ,1.80,R. Bullock K - NYJ ,5.00,Bears DEF ,0.00,J. Thomas TE - JAC ,0.00,D. Williams RB - PIT ,27.20,T. Brady QB - NE ,30.24,A. Jeffery WR - CHI ,0.00,A. Ellington RB - ARI ,0.00,Packers DEF ,7.00,82.26,Kevin,62.08
Kevin,5,E. Manning QB - NYG ,19.98,J. Hill RB - CIN ,0.10,A. Abdullah RB - DET ,1.80,O. Beckham WR - NYG ,20.60,J. Brown WR - ARI ,4.50,T. Kelce TE - KC ,5.80,D. Adams WR - GB ,3.30,M. Bryant K - ATL ,6.00,Dolphins DEF ,0.00,C. Johnson RB - ARI ,7.20,S. Bradford QB - PHI ,7.86,S. Vereen RB - NYG ,9.50,T. Eifert TE - CIN ,10.90,C. Johnson WR - MIN ,1.00,M. Gordon RB - LAC ,9.80,62.08,michael,82.26
Raed,8,A. Luck QB - IND ,8.40,R. Jennings RB - NYG ,2.40,A. Morris RB - WAS ,7.20,J. Edelman WR - NE ,22.90,K. Allen WR - LAC ,-0.40,D. Walker TE - TEN ,0.00,M. Crabtree WR - LV ,17.10,S. Gostkowski K - NE ,18.00,Seahawks DEF ,4.00,D. Bryant WR - DAL ,0.00,C. Fleener TE - IND ,0.00,C. Sims RB - TB ,5.20,A. Hurns WR - JAC ,6.80,D. Johnson RB - CLE ,4.30,M. Mariota QB - TEN ,16.18,79.60,christian,82.84
