Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,11,R. Tannehill QB - MIA ,15.84,J. Langford RB - CHI ,6.40,D. Johnson RB - ARI ,12.30,T. Hilton WR - IND ,13.20,J. Landry WR - MIA ,9.90,J. Reed TE - WAS ,18.00,J. Allen RB - BAL ,3.80,C. Santos K - KC ,4.00,Panthers DEF ,23.00,J. Starks RB - GB ,22.30,E. Sanders WR - DEN ,-0.30,G. Tate WR - DET ,19.50,S. Chandler TE - NE ,0.00,C. Palmer QB - ARI ,20.70,T. Benjamin WR - CLE ,4.10,106.44,Greg,84.46
david,3,C. Newton QB - CAR ,23.00,M. Forte RB - CHI ,11.30,G. Bernard RB - CIN ,6.70,A. Green WR - CIN ,19.20,D. Hopkins WR - HOU ,5.20,G. Olsen TE - CAR ,5.20,A. Boldin WR - SF ,2.20,G. Gano K - CAR ,8.00,Bills DEF ,3.00,D. Amendola WR - NE ,4.60,R. Mathews RB - PHI ,4.20,D. Brees QB - NO ,20.48,M. Floyd WR - LAC ,5.60,C. Sims RB - TB ,7.40,Falcons DEF ,-2.00,83.80,Alessandro,102.92
Ryan,2,B. Roethlisberger QB - PIT ,9.88,C. Ivory RB - NYJ ,10.70,T. Rawls RB - SEA ,4.40,C. Johnson WR - DET ,1.60,J. Brown WR - ARI ,13.80,D. Walker TE - TEN ,7.10,S. Ware RB - KC ,5.20,C. Catanzaro K - ARI ,11.00,Chiefs DEF ,14.00,S. Johnson WR - LAC ,0.00,T. Hightower RB - NO ,15.50,J. Thomas TE - JAC ,11.40,M. Lynch RB - SEA ,0.00,B. Brown RB - SEA ,0.00,C. Anderson RB - DEN ,0.00,77.68,-,-
alex,4,T. Taylor QB - BUF ,18.02,L. McCoy RB - BUF ,10.90,A. Andrews RB - TEN ,7.04,J. Maclin WR - KC ,6.60,A. Brown WR - PIT ,8.70,G. Barnidge TE - CLE ,14.40,V. Jackson WR - TB ,0.50,J. Tucker K - BAL ,6.00,Bengals DEF ,4.00,M. Stafford QB - DET ,16.30,M. Floyd WR - ARI ,16.20,B. Osweiler QB - DEN ,13.32,C. Hyde RB - SF ,0.00,K. Williams RB - BUF ,0.00,Eagles DEF ,6.00,76.16,christian,68.00
Alessandro,6,R. Fitzpatrick QB - NYJ ,24.82,A. Blue RB - HOU ,0.00,J. White RB - NE ,10.00,E. Decker WR - NYJ ,13.40,B. Marshall WR - NYJ ,18.50,R. Rodgers TE - GB ,6.30,M. Evans WR - TB ,3.90,B. Walsh K - MIN ,10.00,Steelers DEF ,16.00,D. Woodhead RB - LAC ,1.30,C. Clay TE - BUF ,0.90,J. Cutler QB - CHI ,19.10,A. Morris RB - WAS ,8.40,T. Austin WR - STL ,5.90,M. Jones RB - WAS ,8.60,102.92,david,83.80
johnny,1,B. Bortles QB - JAC ,25.70,J. Stewart RB - CAR ,14.90,T. Gurley RB - STL ,26.70,B. Cooks WR - NO ,2.90,A. Robinson WR - JAC ,6.40,Z. Ertz TE - PHI ,9.80,E. Lacy RB - GB ,20.80,M. Crosby K - GB ,4.00,Texans DEF ,5.00,R. Gronkowski TE - NE ,14.70,M. Colston WR - NO ,15.60,P. Rivers QB - LAC ,8.92,D. Baldwin WR - SEA ,26.20,R. Randle WR - NYG ,11.80,Broncos DEF ,7.00,116.20,-,-
christian,5,P. Manning QB - DEN ,0.00,D. Martin RB - TB ,14.60,D. Freeman RB - ATL ,4.20,B. LaFell WR - NE ,3.20,D. Thomas WR - DEN ,7.50,J. Witten TE - DAL ,4.00,A. Hurns WR - JAC ,16.50,D. Carpenter K - BUF ,8.00,Cardinals DEF ,10.00,J. Jones WR - ATL ,8.80,A. Gates TE - LAC ,7.60,F. Gore RB - IND ,5.90,N. Foles QB - STL ,0.00,M. Sanu WR - CIN ,2.40,T. Williams WR - DAL ,3.80,68.00,alex,76.16
michael,8,T. Brady QB - NE ,18.04,D. Williams RB - PIT ,21.10,L. Miller RB - MIA ,20.90,K. Britt WR - STL ,3.50,A. Jeffery WR - CHI ,16.70,M. Bennett TE - CHI ,0.00,S. Watkins WR - BUF ,14.20,R. Gould K - CHI ,3.00,Packers DEF ,8.00,J. Charles RB - KC ,0.00,S. Bradford QB - PHI ,12.18,B. Watson TE - NO ,7.00,A. Ellington RB - ARI ,0.00,D. Moncrief WR - IND ,5.20,S. Janikowski K - LV ,1.00,105.44,-,-
Kevin,9,A. Dalton QB - CIN ,0.36,R. Hillman RB - DEN ,6.10,J. Hill RB - CIN ,2.40,D. Adams WR - GB ,1.20,O. Beckham WR - NYG ,28.60,T. Eifert TE - CIN ,4.20,S. Draughn RB - SF ,5.10,C. Barth K - TB ,5.00,Patriots DEF ,15.00,C. Spiller RB - NO ,0.90,E. Manning QB - NYG ,27.28,W. Snead WR - NO ,12.20,D. Cobb RB - TEN ,0.10,D. Funchess WR - CAR ,2.50,M. Gordon RB - LAC ,6.30,67.96,Peter,76.22
Raed,7,D. Carr QB - LV ,13.00,D. McFadden RB - DAL ,11.10,C. West RB - KC ,5.40,M. Crabtree WR - LV ,1.90,K. Aiken WR - BAL ,9.00,T. Kelce TE - KC ,1.80,J. Jones WR - GB ,4.90,S. Gostkowski K - NE ,9.00,Seahawks DEF ,12.00,D. Bryant WR - DAL ,0.90,V. Davis TE - DEN ,7.40,W. Welker WR - STL ,1.10,R. Matthews WR - MIA ,0.00,A. Luck QB - IND ,0.00,L. Murray RB - LV ,2.70,68.10,-,-
