Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,11,R. Tannehill QB - MIA ,8.54,J. Langford RB - CHI ,6.80,D. Johnson RB - ARI ,18.00,T. Hilton WR - IND ,3.60,J. Landry WR - MIA ,0.50,J. Reed TE - WAS ,3.30,J. Allen RB - BAL ,23.00,C. Santos K - KC ,2.00,Panthers DEF ,3.00,J. Starks RB - GB ,6.00,E. Sanders WR - DEN ,2.40,G. Tate WR - DET ,6.60,S. Chandler TE - NE ,12.10,C. Palmer QB - ARI ,22.24,T. Benjamin WR - CLE ,0.00,68.74,Ryan,123.36
david,3,C. Newton QB - CAR ,36.14,M. Forte RB - CHI ,18.30,G. Bernard RB - CIN ,3.50,A. Green WR - CIN ,18.80,D. Hopkins WR - HOU ,14.80,G. Olsen TE - CAR ,10.90,A. Boldin WR - SF ,3.70,G. Gano K - CAR ,5.00,Bills DEF ,4.00,D. Amendola WR - NE ,13.64,R. Mathews RB - PHI ,0.00,D. Brees QB - NO ,22.48,M. Floyd WR - LAC ,-0.50,C. Sims RB - TB ,7.70,Falcons DEF ,5.00,115.14,alex,111.64
Ryan,2,B. Roethlisberger QB - PIT ,33.86,C. Ivory RB - NYJ ,4.90,T. Rawls RB - SEA ,16.30,C. Johnson WR - DET ,10.40,J. Brown WR - ARI ,11.30,D. Walker TE - TEN ,15.20,C. Anderson RB - DEN ,5.40,C. Catanzaro K - ARI ,9.00,Chiefs DEF ,17.00,S. Johnson WR - LAC ,0.00,J. Thomas TE - JAC ,7.50,M. Lynch RB - SEA ,0.00,R. Turbin RB - DAL ,2.40,S. Ware RB - KC ,8.50,J. Winston QB - TB ,18.58,123.36,Peter,68.74
alex,4,B. Osweiler QB - DEN ,8.74,L. McCoy RB - BUF ,11.20,A. Andrews RB - TEN ,12.80,J. Maclin WR - KC ,19.50,A. Brown WR - PIT ,23.80,G. Barnidge TE - CLE ,5.90,V. Jackson WR - TB ,8.70,J. Tucker K - BAL ,7.00,Bengals DEF ,14.00,M. Stafford QB - DET ,17.00,T. Taylor QB - BUF ,29.24,M. Floyd WR - ARI ,10.40,C. Hyde RB - SF ,0.00,K. Williams RB - BUF ,0.00,Eagles DEF ,25.00,111.64,david,115.14
Alessandro,6,J. Cutler QB - CHI ,7.08,M. Ingram RB - NO ,15.90,A. Blue RB - HOU ,1.40,E. Decker WR - NYJ ,10.10,B. Marshall WR - NYJ ,19.10,R. Rodgers TE - GB ,20.60,M. Evans WR - TB ,12.10,B. Walsh K - MIN ,1.00,Steelers DEF ,21.00,M. Ryan QB - ATL ,13.16,D. Woodhead RB - LAC ,3.40,C. Clay TE - BUF ,12.60,S. Vereen RB - NYG ,2.00,A. Morris RB - WAS ,1.20,T. Austin WR - STL ,3.80,108.28,Greg,94.22
johnny,1,B. Bortles QB - JAC ,32.78,J. Stewart RB - CAR ,15.30,T. Gurley RB - STL ,4.10,B. Cooks WR - NO ,16.40,A. Robinson WR - JAC ,33.30,Z. Ertz TE - PHI ,6.90,E. Lacy RB - GB ,0.10,M. Crosby K - GB ,3.00,Texans DEF ,0.00,R. Gronkowski TE - NE ,0.00,M. Colston WR - NO ,1.40,P. Rivers QB - LAC ,6.08,D. Baldwin WR - SEA ,21.40,R. Randle WR - NYG ,2.20,Broncos DEF ,23.00,111.88,Peter,90.82
christian,5,P. Manning QB - DEN ,0.00,D. Martin RB - TB ,14.00,D. Freeman RB - ATL ,10.30,B. LaFell WR - NE ,2.70,D. Thomas WR - DEN ,12.10,J. Witten TE - DAL ,4.60,A. Hurns WR - JAC ,0.00,D. Carpenter K - BUF ,6.00,Cardinals DEF ,9.00,J. Jones WR - ATL ,9.30,A. Gates TE - LAC ,5.00,F. Gore RB - IND ,15.40,N. Foles QB - STL ,3.64,M. Sanu WR - CIN ,0.70,T. Williams WR - DAL ,6.30,58.70,Raed,61.02
michael,8,T. Brady QB - NE ,31.78,D. Williams RB - PIT ,14.50,L. Miller RB - MIA ,9.80,K. Britt WR - STL ,4.10,A. Jeffery WR - CHI ,8.50,M. Bennett TE - CHI ,1.40,S. Watkins WR - BUF ,16.90,R. Gould K - CHI ,10.00,Packers DEF ,5.00,J. Charles RB - KC ,0.00,S. Bradford QB - PHI ,12.70,B. Watson TE - NO ,9.80,A. Ellington RB - ARI ,0.00,D. Moncrief WR - IND ,3.30,S. Janikowski K - LV ,2.00,101.98,Kevin,98.50
Kevin,9,A. Dalton QB - CIN ,23.90,R. Hillman RB - DEN ,5.60,J. Hill RB - CIN ,15.80,D. Adams WR - GB ,8.10,O. Beckham WR - NYG ,20.90,J. Tamme TE - ATL ,2.60,S. Draughn RB - SF ,14.60,C. Barth K - TB ,5.00,Patriots DEF ,2.00,E. Manning QB - NYG ,14.08,T. Eifert TE - CIN ,0.00,W. Snead WR - NO ,0.00,D. Cobb RB - TEN ,4.00,D. Funchess WR - CAR ,7.30,M. Gordon RB - LAC ,4.30,98.50,michael,101.98
Raed,7,D. Carr QB - LV ,13.32,D. McFadden RB - DAL ,7.90,C. West RB - KC ,4.40,M. Crabtree WR - LV ,10.50,K. Aiken WR - BAL ,4.80,T. Kelce TE - KC ,4.20,J. Jones WR - GB ,1.90,S. Gostkowski K - NE ,4.00,Seahawks DEF ,10.00,D. Bryant WR - DAL ,6.20,V. Davis TE - DEN ,2.50,W. Welker WR - STL ,1.50,R. Matthews WR - MIA ,0.00,A. Luck QB - IND ,0.00,L. Murray RB - LV ,15.70,61.02,christian,58.70
